Seq#,tTrig,StPos,Tvp,Tva,Trnout,Tmot,EndPos,LagPos,TgtPos,MotErr,DifPos,Tgt+/-,Rot,Ttotal
131,3389,60,52,0,40,40,61,60,0,0,-1,60,0,501
132,3390,60,52,0,40,40,61,60,0,0,-1,60,0,501
133,3391,60,52,0,40,40,60,61,0,0,1,61,0,501
134,3392,60,52,0,40,40,60,61,0,0,1,61,0,501
135,3393,60,52,0,40,40,60,61,0,0,1,61,0,501
136,3394,60,52,0,40,40,60,61,0,0,1,61,0,501
137,3395,60,52,0,40,40,60,61,0,0,1,61,0,501
138,3396,60,52,0,40,40,60,61,0,0,1,61,0,501
139,3397,60,52,0,40,40,60,60,0,0,0,60,0,501
140,3399,60,52,0,40,40,60,60,0,0,0,60,0,501
141,3400,60,52,0,40,40,60,60,0,0,0,60,0,501
142,3401,60,52,0,40,40,60,61,0,1,1,61,0,501
143,3402,60,52,0,40,40,60,61,0,0,1,61,0,501
144,3403,61,53,0,40,40,60,60,0,1,0,60,0,501
145,3404,61,53,0,40,40,60,60,0,0,0,60,0,501
146,3405,61,53,0,40,40,60,60,0,0,0,60,0,501
147,3406,61,53,0,40,40,61,60,0,0,-1,60,0,501
148,3407,61,53,0,40,40,60,60,0,1,0,60,0,501
149,3408,61,53,0,40,40,60,60,0,1,0,60,0,501
150,3409,60,52,0,40,40,60,60,0,1,0,60,0,501
151,3410,60,52,0,40,40,61,60,0,0,-1,60,0,501
152,3411,61,53,0,40,40,61,60,0,0,-1,60,0,501
153,3412,61,53,0,40,40,61,60,0,0,-1,60,0,501
154,3413,61,53,0,40,40,61,61,0,0,0,61,0,501
155,3415,60,52,0,40,40,61,60,0,1,-1,60,0,501
156,3416,60,52,0,40,40,61,60,0,1,-1,60,0,501
157,3417,60,52,0,40,40,61,60,0,0,-1,60,0,501
158,3418,60,52,0,40,40,61,60,0,0,-1,60,0,501
159,3419,60,52,0,40,40,60,61,0,1,1,61,0,501
160,3420,60,52,0,40,40,60,61,0,0,1,61,0,501
161,3421,60,52,0,40,40,60,61,0,1,1,61,0,501
162,3422,60,52,0,40,40,60,61,0,0,1,61,0,501
163,3423,60,52,0,40,40,60,61,0,0,1,61,0,501
164,3424,60,52,0,40,40,61,61,0,1,0,61,0,501
165,3425,60,52,0,40,40,61,61,0,1,0,61,0,501
166,3426,60,52,0,40,40,61,61,0,1,0,61,0,500
167,3427,60,52,0,40,40,60,60,0,0,0,60,0,501
168,3428,60,52,0,40,40,60,61,0,0,1,61,0,501
169,3429,60,52,0,40,40,60,61,0,0,1,61,0,501
170,3430,60,52,0,40,40,60,60,0,0,0,60,0,501
171,3432,60,52,0,40,40,60,60,0,0,0,60,0,501
172,3433,61,53,0,40,40,60,60,0,0,0,60,0,501
173,3434,61,53,0,40,40,60,60,0,1,0,60,0,500
174,3435,61,53,0,40,40,60,60,0,0,0,60,0,501
175,3436,61,53,0,40,40,60,60,0,0,0,60,0,501
176,3437,61,53,0,40,40,60,60,0,0,0,60,0,501
177,3438,61,53,0,40,40,60,60,0,1,0,60,0,502
178,3439,61,53,0,40,40,60,60,0,1,0,60,0,501
179,3440,61,53,0,40,40,60,60,0,1,0,60,0,501
180,3441,61,53,0,40,40,61,60,0,0,-1,60,0,501
181,3442,60,52,0,40,40,61,60,0,0,-1,60,0,501
182,3443,61,53,0,40,40,61,61,0,0,0,61,0,501
183,3444,61,53,0,40,40,61,60,0,0,-1,60,0,501
184,3445,61,53,0,40,40,61,60,0,0,-1,60,0,501
185,3446,60,52,0,40,40,61,60,0,0,-1,60,0,501
186,3448,60,52,0,40,40,61,61,0,1,0,61,0,501
187,3449,61,53,0,40,40,61,60,0,1,-1,60,0,501
188,3450,60,52,0,40,40,61,60,0,1,-1,60,0,501
189,3451,60,52,0,40,40,61,60,0,1,-1,60,0,501
190,3452,60,52,0,40,40,61,61,0,1,0,61,0,501
191,3453,60,52,0,40,40,61,61,0,0,0,61,0,501
192,3454,60,52,0,40,40,61,61,0,1,0,61,0,501
193,3455,60,52,0,40,40,60,61,0,0,1,61,0,501
194,3456,60,52,0,40,40,61,61,0,1,0,61,0,501
195,3457,60,52,0,40,40,61,61,0,1,0,61,0,501
196,3458,60,52,0,40,40,60,61,0,0,1,61,0,501
197,3459,60,52,0,40,40,61,61,0,1,0,61,0,501
198,3460,60,52,0,40,40,61,61,0,1,0,61,0,502
199,3461,60,52,0,40,40,60,60,0,0,0,60,0,501
200,3462,60,52,0,40,40,60,61,0,0,1,61,0,501
201,3463,60,21,21,120,141,39,39,31,0,0,8,0,522
202,3465,39,15,15,130,145,17,17,16,0,0,1,0,516
203,3466,17,17,17,130,147,8184,8184,8184,0,0,0,0,518
204,3467,8183,13,13,130,143,8160,8160,8162,0,0,-2,0,514
205,3468,8160,9,9,120,129,8172,8172,8178,0,0,-6,1,510
206,3469,8172,13,13,130,143,3,3,2,0,0,1,1,514
207,3470,3,4,0,40,40,3,3,16,0,0,-13,1,501
208,3471,3,33,33,140,173,46,46,47,0,0,-1,1,534
209,3472,46,4,0,40,40,46,46,58,0,0,-12,1,501
210,3473,46,16,16,140,156,81,81,72,0,0,9,1,517
211,3474,81,0,0,40,40,81,81,84,0,0,-3,1,501
212,3475,81,2,0,40,40,81,81,71,0,0,10,0,501
213,3476,81,20,20,120,140,56,55,53,1,-1,2,0,521
214,3477,55,14,14,130,144,31,31,33,0,0,-2,0,515
215,3478,31,8,8,120,128,14,14,15,0,0,-1,0,509
216,3479,14,3,0,40,40,14,14,3,0,0,11,0,501
217,3481,14,14,14,140,154,8183,8183,8184,0,0,-1,0,515
218,3482,8183,9,9,120,129,8164,8164,8166,0,0,-2,0,510
219,3483,8164,12,12,140,152,8140,8140,8144,0,0,-4,0,514
220,3484,8140,7,7,110,117,8149,8150,8156,0,1,-6,1,508
221,3485,8150,11,11,120,131,8169,8169,8170,0,0,-1,1,512
222,3486,8169,5,0,40,40,8170,8170,8183,1,0,-13,1,501
223,3487,8169,0,0,40,40,8169,8169,8170,0,0,-1,1,501
224,3488,8169,11,11,120,131,8155,8155,8150,0,0,5,0,512
225,3489,8155,17,17,130,147,8126,8126,8130,0,0,-4,0,518
226,3490,8126,13,13,130,143,8148,8148,8148,0,0,0,1,513
227,3491,8148,13,12,130,142,8172,8172,8170,0,0,2,1,514
228,3492,8172,34,34,140,174,24,25,25,0,1,0,1,535
229,3493,24,7,7,40,47,24,24,9,0,0,15,0,508
230,3494,23,24,24,140,164,8179,8179,8183,0,0,-4,0,525
231,3495,8179,3,0,40,40,8179,8179,8168,0,0,11,0,501
232,3496,8179,18,18,130,148,8150,8149,8153,0,-1,-4,0,519
233,3498,8149,28,28,140,168,8108,8108,8113,0,0,-5,0,529
234,3499,8108,12,11,140,151,8132,8132,8129,0,0,3,1,512
235,3500,8132,15,15,130,145,8158,8158,8157,1,0,1,1,516
236,3501,8157,17,17,130,147,8184,8184,8184,0,0,0,1,518
237,3502,8184,3,0,40,40,8184,8184,3,1,0,-11,1,501
238,3503,8184,0,0,40,40,8185,8184,8183,1,-1,1,0,501
239,3504,8184,24,24,130,154,8159,8158,8152,1,-1,6,0,525
240,3505,8158,33,33,140,173,8113,8113,8117,0,0,-4,0,534
241,3506,8113,0,0,40,40,8114,8113,8105,0,-1,8,0,501
242,3507,8113,15,15,130,145,8138,8138,8138,0,0,0,1,516
243,3508,8138,32,32,140,172,8182,8182,8181,0,0,1,1,533
244,3509,8183,24,25,130,155,23,24,26,0,1,-2,1,526
245,3510,24,25,25,130,155,61,61,60,0,0,1,1,526
246,3511,61,9,9,120,129,54,54,44,0,0,10,0,510
247,3512,54,24,24,130,154,25,25,22,0,0,3,0,525
248,3514,24,16,16,120,136,0,0,0,0,0,0,0,517
249,3515,0,12,12,130,142,8170,8170,8172,0,0,-2,0,513
250,3516,8170,9,9,120,129,8154,8154,8153,0,0,1,0,509
251,3517,8154,21,21,130,151,8124,8124,8125,0,0,-1,0,522
252,3518,8124,6,6,100,106,8127,8128,8139,1,1,-11,1,507
253,3519,8128,21,21,130,151,8159,8159,8159,0,0,0,1,522
254,3520,8159,8,9,120,129,8171,8171,8176,0,0,-5,1,509
255,3521,8171,1,0,40,40,8171,8171,8162,0,0,9,0,501
256,3522,8170,22,22,140,162,8142,8142,8140,0,0,2,0,523
257,3523,8142,20,20,130,150,8111,8111,8114,0,0,-3,0,521
258,3524,8111,23,23,140,163,8075,8075,8080,0,0,-5,0,524
259,3525,8075,15,15,140,155,8101,8101,8100,0,0,1,1,516
260,3526,8101,13,12,130,142,8124,8124,8123,0,0,1,1,514
261,3527,8124,34,34,140,174,8171,8171,8169,0,0,2,1,535
262,3528,8171,6,6,90,96,8175,8175,8186,0,0,-11,1,507
263,3529,8175,20,21,140,161,17,17,13,0,0,4,1,521
264,3531,17,5,0,40,40,17,17,31,0,0,-14,1,501
265,3532,17,19,19,140,159,51,52,46,1,1,6,1,520
266,3533,52,17,17,130,147,84,84,79,0,0,5,1,518
267,3534,84,4,0,40,40,84,84,97,0,0,-13,1,500
268,3535,84,32,32,140,172,135,135,127,0,0,8,1,533
269,3536,135,20,20,130,150,167,167,165,0,0,2,1,521
270,3537,167,22,23,130,153,202,202,199,0,0,3,1,523
271,3538,202,11,11,130,141,225,225,222,0,0,3,1,512
272,3539,225,12,12,130,142,205,205,205,0,0,0,0,513
273,3540,205,22,22,140,162,173,173,175,0,0,-2,0,524
274,3541,173,23,23,130,153,141,142,142,1,1,0,0,524
275,3542,141,27,27,140,167,102,102,106,0,0,-4,0,528
276,3543,102,0,0,40,40,102,102,94,0,0,8,0,502
277,3544,102,23,23,130,153,69,69,71,0,0,-2,0,524
278,3545,69,22,22,130,152,35,35,39,0,0,-4,0,523
279,3547,35,24,23,130,153,1,0,3,0,-1,-3,0,525
280,3548,1,26,26,130,156,8156,8156,8159,0,0,-3,0,527
281,3549,8156,20,20,140,160,8122,8122,8128,1,0,-6,0,521
282,3550,8123,1,0,40,40,8122,8122,8114,1,0,8,0,501
283,3551,8123,4,0,40,40,8123,8122,8135,0,-1,-13,1,501
284,3552,8123,25,25,140,165,8157,8157,8159,0,0,-2,1,526
285,3553,8157,14,15,130,145,8185,8185,8180,0,0,5,1,515
286,3554,8185,5,0,40,40,8185,8185,7,0,0,-14,1,501
287,3555,8185,24,24,140,164,29,29,27,0,0,2,1,525
288,3556,29,12,13,130,143,54,54,50,0,0,4,1,513
289,3557,54,14,14,130,144,82,82,78,0,0,4,1,515
290,3558,82,16,16,120,136,60,59,58,1,-1,1,0,517
291,3559,59,28,27,130,157,21,21,23,0,0,-2,0,528
292,3560,21,24,24,140,164,8176,8177,8181,0,1,-4,0,525
